word,pos,total,articles
后,名詞,43,27
公務,名詞,42,20
急死,名詞,42,39
状態,名詞,42,32
幼い,形容詞,42,34
世子,名詞,42,37
三男,名詞,42,36
侯爵,名詞,41,28
女子,名詞,41,29
滞在,名詞,41,30
辺境,名詞,41,19
姪,名詞,41,36
堂,名詞,41,38
美しい,形容詞,41,30
皇太后,名詞,41,8
カミラ,名詞,40,3
コペンハーゲン,名詞,40,22
ミュンヘン,名詞,40,30
同盟,名詞,40,28
出生,名詞,40,29
支援,名詞,40,30
マスコミ,名詞,40,7
スコットランド,名詞,40,25
フレデリック,名詞,40,19
養育,名詞,40,28
友人,名詞,40,25
求める,動詞,39,27
継ぐ,動詞,39,33
離れる,動詞,39,32
続く,動詞,39,27
良い,形容詞,39,30
オーガスタ,名詞,39,14
選ぶ,動詞,38,33
身,名詞,38,28
退位,名詞,38,26
アーサー,名詞,38,11
思う,動詞,38,20
ストックホルム,名詞,38,22
入る,動詞,38,28
手紙,名詞,38,16
地位,名詞,38,30
ヨーロッパ,名詞,37,29
フランソワ,名詞,37,17
人々,名詞,37,23
自ら,名詞,37,29
公国,名詞,37,28
人気,名詞,37,27
カナダ,名詞,37,9
アルベール,名詞,37,21
セル,名詞,36,18
神聖,名詞,36,22
結果,名詞,36,29
公家,名詞,36,20
若い,形容詞,36,30
モード,名詞,36,9
社交,名詞,36,23
旅行,名詞,36,24
改宗,名詞,35,25
しまう,動詞,35,25
訪れる,動詞,35,25
帝国,名詞,35,26
葬儀,名詞,35,20
成立,名詞,35,27
ジェームズ,名詞,35,25
出る,動詞,35,21
出す,動詞,35,24
側,名詞,35,23
唯一,名詞,35,29
名乗る,動詞,35,27
無い,形容詞,35,25
高い,形容詞,34,23
主張,名詞,34,19
ケンブリッジ,名詞,34,13
宣言,名詞,34,22
セント,名詞,34,23
ブルボン,名詞,34,23
縁談,名詞,34,23
縁組,名詞,34,24
悪い,形容詞,34,23
子孫,名詞,34,23
エレナ,名詞,33,10
カルロス,名詞,33,17
遺体,名詞,33,26
行く,動詞,33,24
年間,名詞,33,25
フランス語,名詞,33,31
生む,動詞,33,27
述べる,動詞,33,9
処刑,名詞,33,16
家庭,名詞,33,28
親しい,形容詞,33,23
トスカーナ,名詞,33,17
多い,形容詞,32,20
エリザベート,名詞,32,15
存在,名詞,32,28
礼拝,名詞,32,29
性格,名詞,32,26
支持,名詞,32,23
英語,名詞,32,27
未亡人,名詞,32,26
不幸,名詞,32,30
理由,名詞,32,28
相手,名詞,32,26
公式,名詞,32,22
義理,名詞,32,27
ナチス,名詞,31,17
迎える,動詞,31,26
嫌う,動詞,31,27
伴う,動詞,31,22
婚姻,名詞,31,18
示す,動詞,31,24
心,名詞,31,16
マリ,名詞,31,27
置く,動詞,31,26
略歴,名詞,31,31
ファッション,名詞,30,10
関心,名詞,30,24
妊娠,名詞,30,21
プロテスタント,名詞,30,17
マル,名詞,30,17
統治,名詞,30,23
国際,名詞,30,14
愛妾,名詞,30,19
日本,名詞,30,16
男爵,名詞,30,21
将来,名詞,30,19
許す,動詞,30,27
後継,名詞,30,25
少女,名詞,30,21
取る,動詞,30,16
孫娘,名詞,30,27
作る,動詞,29,22
晩年,名詞,29,28
望む,動詞,29,21
総督,名詞,29,15
症,名詞,29,18
起きる,動詞,29,27
原因,名詞,29,24
連れる,動詞,29,25
英,名詞,29,20
異母,名詞,29,21
社会,名詞,29,21
主義,名詞,29,22
ルイス,名詞,28,13
マーガレット,名詞,28,13
働く,動詞,28,22
向かう,動詞,28,22
つく,動詞,28,23
財産,名詞,28,22
対立,名詞,28,18
以来,名詞,28,20
所有,名詞,28,20
ハンガリー,名詞,28,19
棺,名詞,28,12
島,名詞,28,18
必要,名詞,28,19
郊外,名詞,28,24
許可,名詞,27,16
ドレスデン,名詞,27,18
参加,名詞,27,19
順位,名詞,27,21
初代,名詞,27,24
ジャン,名詞,27,16
ジョン,名詞,27,15
スイス,名詞,27,23
朝,名詞,27,23
全て,名詞,27,22
政略,名詞,27,26
長い,形容詞,27,24
首相,名詞,27,14
学,名詞,27,15
宗教,名詞,27,18
王宮,名詞,27,18
同様,名詞,27,24
させる,動詞,27,19
リア,名詞,27,23
決める,動詞,27,24
家長,名詞,26,20
挙げる,動詞,26,23
身分,名詞,26,21
翌年,名詞,26,23
トリノ,名詞,26,21
就く,動詞,26,23
会う,動詞,26,17
テック,名詞,26,11
女優,名詞,26,11
独身,名詞,26,25
残る,動詞,26,21
幼少,名詞,26,25
ベア,名詞,26,8
外国,名詞,26,15
花嫁,名詞,26,20
式典,名詞,25,15
出会う,動詞,25,22
起こす,動詞,25,21
ヨーク,名詞,25,17
授ける,動詞,25,22
持参,名詞,25,16
芸術,名詞,25,21
婚礼,名詞,25,15
嫡出,名詞,25,11
トリス,名詞,25,7
批判,名詞,25,10
令嬢,名詞,25,16
没す,動詞,25,22
かかわる,動詞,25,23
かける,動詞,25,18
海軍,名詞,25,17
産む,動詞,25,20
同士,名詞,24,21
好き,名詞,24,17
移住,名詞,24,17
写真,名詞,24,13
不倫,名詞,24,13
名付ける,動詞,24,20
可能,名詞,24,19
伯父,名詞,24,22
遺骸,名詞,24,22
本,名詞,24,10
事故,名詞,24,15
購入,名詞,24,20
医師,名詞,24,14
赤十字,名詞,24,15
女官,名詞,24,15
経済,名詞,24,20
残す,動詞,24,19
議会,名詞,23,17
楽しむ,動詞,23,17
学ぶ,動詞,23,18
庶子,名詞,23,16
健康,名詞,23,20
結ぶ,動詞,23,15
名誉,名詞,23,20
独立,名詞,23,16
任命,名詞,23,17
ハーグ,名詞,23,12
予定,名詞,23,15
報道,名詞,23,10
フィンランド,名詞,23,11
ちなむ,動詞,23,22
新しい,形容詞,23,20
実家,名詞,23,20
従姉,名詞,23,21
美貌,名詞,23,15
立つ,動詞,23,18
所領,名詞,23,15
彼ら,名詞,23,15
儲ける,動詞,23,17
出版,名詞,23,13
激しい,形容詞,23,22
年代,名詞,23,16
近郊,名詞,22,20
長,名詞,22,14
勃発,名詞,22,22
愛情,名詞,22,18
挙式,名詞,22,18
事件,名詞,22,15
末子,名詞,22,22
当初,名詞,22,19
卿,名詞,22,8
熱心,名詞,22,19
陸軍,名詞,22,17
血,名詞,22,17
入学,名詞,22,11
各国,名詞,22,14
使う,動詞,22,13
ドロ,名詞,22,10
設立,名詞,22,17
聖,名詞,22,21
同行,名詞,22,16
年上,名詞,22,22
ハプスブルク,名詞,22,13
陰謀,名詞,22,7
同族,名詞,22,18
終わる,動詞,22,18
代理,名詞,22,16
支配,名詞,22,19
画家,名詞,22,15
以外,名詞,22,19
中心,名詞,22,21
一部,名詞,22,20
放棄,名詞,22,16
父母,名詞,22,18
良好,名詞,22,20
社,名詞,21,15
義父,名詞,21,14
愛す,動詞,21,18
姑,名詞,21,15
ハウス,名詞,21,13
信徒,名詞,21,13
チャン,名詞,21,17
引く,動詞,21,18
歴史,名詞,21,18
歓迎,名詞,21,18
幸福,名詞,21,18
代わり,名詞,21,17
先立つ,動詞,21,18
ロイヤル,名詞,21,17
書く,動詞,21,16
車,名詞,21,8
嫁,名詞,21,13
解消,名詞,21,20
シ,名詞,21,9
恵まれる,動詞,21,21
恋,名詞,21,15
クリス,名詞,21,17
パトリシア,名詞,21,3
カトリーヌ,名詞,21,5
付ける,動詞,21,20
霊廟,名詞,20,14
ブルガリア,名詞,20,6
参列,名詞,20,16
アルト,名詞,20,14
通り,名詞,20,13
執り行う,動詞,20,17
追う,動詞,20,16
アナ,名詞,20,12
ブラジル,名詞,20,8
カロリーヌ,名詞,20,8
有名,名詞,20,17
がる,動詞,20,14
か月,名詞,20,18
アストリッド,名詞,20,7
事業,名詞,20,13
招く,動詞,20,13
保持,名詞,20,16
援助,名詞,20,17
エドゥ,名詞,20,14
国外,名詞,20,19
週間,名詞,20,14
サン,名詞,20,17
当たる,動詞,20,18
一人娘,名詞,20,20
婚,名詞,20,16
近い,形容詞,20,19
面会,名詞,20,14
ペ,名詞,20,9
シチリア,名詞,20,13
悪化,名詞,20,18
賞,名詞,20,11
グレース,名詞,20,6
世継ぎ,名詞,20,16
連合,名詞,20,16
開く,動詞,20,16
寺院,名詞,20,15
集める,動詞,20,16
因む,動詞,20,19
ニコラ,名詞,20,13
到着,名詞,20,12
贈る,動詞,20,17
改革,名詞,20,12
ドレス,名詞,20,11
地方,名詞,20,17
生い立ち,名詞,19,19
ジョゼフ,名詞,19,14
一方,名詞,19,13
アメリカ合衆国,名詞,19,16
年下,名詞,19,18
追放,名詞,19,15
修道,名詞,19,7
避難,名詞,19,19
ウェストミンスター,名詞,19,14
ポツダム,名詞,19,14
館,名詞,19,17
女児,名詞,19,12
説得,名詞,19,14
立場,名詞,19,16
仏,名詞,19,19
言える,動詞,19,17
住まい,名詞,19,18
映画,名詞,19,8
姿,名詞,19,16
団,名詞,19,12
独,名詞,19,15
回復,名詞,19,16
肖像,名詞,19,14
長兄,名詞,19,14
宰相,名詞,19,17
行事,名詞,19,14
保つ,動詞,19,18
双子,名詞,19,16
領地,名詞,19,15
アテネ,名詞,18,11
親族,名詞,18,12
記念,名詞,18,14
別荘,名詞,18,14
計画,名詞,18,9
称す,動詞,18,17
暗殺,名詞,18,16
党,名詞,18,7
役,名詞,18,14
ベルト,名詞,18,6
愛称,名詞,18,15
求婚,名詞,18,12
政策,名詞,18,12
周囲,名詞,18,15
大統領,名詞,18,12
政権,名詞,18,11
天皇,名詞,18,7
哲学,名詞,18,7
見せる,動詞,18,10
教徒,名詞,18,15
男性,名詞,18,14
逮捕,名詞,18,16
連隊,名詞,18,9
爵位,名詞,18,14
マルゲリータ,名詞,18,6
好意,名詞,18,14
アレクサンダー,名詞,18,11
含む,動詞,18,16
リン,名詞,18,12
看護,名詞,18,12
一時,名詞,18,14
一族,名詞,18,16
死産,名詞,18,13
年金,名詞,18,15
逃れる,動詞,18,18
