word,pos,total,articles
成功,名詞,47,25
学校,名詞,47,34
独立,名詞,47,29
撤退,名詞,47,19
あたる,動詞,47,42
軍隊,名詞,46,27
ウィンザー,名詞,46,11
オブ,名詞,46,26
インド,名詞,46,12
隊,名詞,46,22
洗礼,名詞,46,28
長女,名詞,46,41
正式,名詞,46,31
子爵,名詞,45,8
代表,名詞,45,26
外交,名詞,45,25
計画,名詞,45,28
子孫,名詞,45,37
歩兵,名詞,45,24
年間,名詞,45,31
戴冠,名詞,45,25
彼ら,名詞,45,26
遠征,名詞,44,16
ウィーン,名詞,44,28
起こす,動詞,44,28
婚約,名詞,44,25
開始,名詞,44,21
勲章,名詞,44,30
ノルウェー,名詞,44,11
最終,名詞,44,36
名誉,名詞,44,32
番目,名詞,44,40
領土,名詞,44,25
のち,名詞,43,39
世紀,名詞,43,27
マリー,名詞,43,34
スイス,名詞,43,25
従兄,名詞,42,36
見る,動詞,42,29
ジャン,名詞,42,25
騎兵,名詞,42,26
学ぶ,動詞,42,38
プリンス・オブ・ウェールズ,名詞,42,19
ローマ帝国,名詞,42,18
戻る,動詞,42,33
始まる,動詞,42,37
主張,名詞,42,30
フランス語,名詞,42,35
要塞,名詞,42,13
末,名詞,41,27
承認,名詞,41,28
就く,動詞,41,36
求める,動詞,41,30
士官,名詞,41,28
従妹,名詞,41,40
ルクセンブルク,名詞,41,14
逮捕,名詞,40,26
活動,名詞,40,27
ルーマニア,名詞,40,8
移る,動詞,40,32
戦,名詞,40,21
入る,動詞,40,30
埋葬,名詞,40,36
訪問,名詞,40,21
支援,名詞,40,27
従軍,名詞,40,33
治世,名詞,40,21
合流,名詞,39,17
両親,名詞,39,32
活躍,名詞,39,27
任じる,動詞,39,32
死ぬ,動詞,39,32
始める,動詞,39,29
フランツ,名詞,39,24
多い,形容詞,38,22
解放,名詞,38,17
アメリカ,名詞,38,25
英,名詞,38,22
南,名詞,37,26
指導,名詞,37,23
敗北,名詞,37,23
自由,名詞,37,24
愛人,名詞,37,26
アレクサンダー,名詞,37,15
言う,動詞,37,27
敵,名詞,37,17
状態,名詞,37,23
入隊,名詞,37,30
父方,名詞,36,34
リー,名詞,36,7
ハンガリー,名詞,36,22
党派,名詞,36,16
マリア,名詞,35,26
議員,名詞,35,18
許す,動詞,35,28
立場,名詞,35,25
残す,動詞,35,27
東,名詞,35,16
強い,形容詞,35,22
連邦,名詞,35,20
サン,名詞,35,27
放棄,名詞,35,29
職,名詞,35,23
皇太子,名詞,35,24
伴う,動詞,35,29
少将,名詞,34,26
出す,動詞,34,27
選ぶ,動詞,34,28
暗殺,名詞,34,23
締結,名詞,34,18
性,名詞,34,22
儲ける,動詞,34,31
ジョン,名詞,34,20
所属,名詞,33,24
名乗る,動詞,33,30
エルサレム,名詞,33,19
戦線,名詞,33,21
経済,名詞,33,28
同様,名詞,33,31
陥落,名詞,33,14
没す,動詞,33,21
拒否,名詞,33,20
出席,名詞,33,23
ブルゴーニュ,名詞,33,12
艦隊,名詞,32,10
従弟,名詞,32,26
許可,名詞,32,21
追放,名詞,32,24
ド,名詞,32,30
滞在,名詞,32,19
敗れる,動詞,32,23
ピエモンテ,名詞,32,20
ヨーク,名詞,32,13
反発,名詞,32,19
運動,名詞,32,19
授ける,動詞,32,26
起きる,動詞,32,21
戦死,名詞,32,24
書く,動詞,31,20
戦闘,名詞,31,26
ミュンヘン,名詞,31,18
開く,動詞,31,22
国境,名詞,31,19
女性,名詞,31,23
財産,名詞,31,23
建設,名詞,31,15
中心,名詞,31,23
改正,名詞,31,15
つく,動詞,31,23
旅団,名詞,30,11
候補,名詞,30,24
事実,名詞,30,21
歴史,名詞,30,23
財政,名詞,30,13
勢力,名詞,30,18
ミラノ,名詞,30,18
仏,名詞,30,24
ピエール,名詞,30,7
遺体,名詞,30,25
さ,名詞,30,21
順位,名詞,30,20
兄弟,名詞,30,26
協力,名詞,30,16
廃止,名詞,30,18
捕虜,名詞,30,22
至る,動詞,30,18
復古,名詞,29,14
経歴,名詞,29,29
必要,名詞,29,20
拡大,名詞,29,22
置く,動詞,29,23
ジュー,名詞,29,11
創設,名詞,29,22
要求,名詞,29,20
日本,名詞,29,13
出生,名詞,29,23
葬る,動詞,29,29
スター,名詞,29,16
地方,名詞,29,21
選出,名詞,29,17
一員,名詞,29,26
取る,動詞,29,22
代わる,動詞,29,26
祖母,名詞,29,20
可能,名詞,29,21
述べる,動詞,29,15
しまう,動詞,29,19
一族,名詞,29,21
権力,名詞,28,18
北部,名詞,28,17
加える,動詞,28,22
社会,名詞,28,20
十字軍,名詞,28,7
進軍,名詞,28,14
近衛,名詞,28,16
宗教,名詞,28,17
当初,名詞,28,23
回復,名詞,28,26
領地,名詞,28,20
援助,名詞,28,20
提案,名詞,28,20
階級,名詞,28,23
一部,名詞,28,20
学,名詞,28,20
晩年,名詞,28,20
協定,名詞,28,17
到着,名詞,28,14
夫婦,名詞,28,21
プロテスタント,名詞,28,16
進む,動詞,27,21
当主,名詞,27,17
対抗,名詞,27,17
望む,動詞,27,20
作戦,名詞,27,16
男爵,名詞,27,17
起こる,動詞,27,23
死亡,名詞,27,26
結婚式,名詞,27,24
決定,名詞,27,17
無い,形容詞,27,21
大きい,形容詞,27,16
裁判,名詞,27,17
大臣,名詞,27,13
叙,名詞,27,16
幼少,名詞,27,22
諸国,名詞,27,20
鎮圧,名詞,27,20
曾孫,名詞,27,22
評価,名詞,27,20
アレクサンドル,名詞,26,14
身分,名詞,26,17
パレルモ,名詞,26,8
推定,名詞,26,20
全て,名詞,26,21
対,名詞,26,22
記念,名詞,26,18
所領,名詞,26,20
保持,名詞,26,22
解散,名詞,26,11
状況,名詞,26,19
譲る,動詞,26,19
罪,名詞,26,13
かける,動詞,26,15
植民,名詞,26,13
最高,名詞,26,22
以来,名詞,26,24
迎える,動詞,26,24
王立,名詞,26,20
多数,名詞,26,14
ブリュッセル,名詞,26,17
一方,名詞,26,18
エディンバラ,名詞,25,16
卒業,名詞,25,22
兼,名詞,25,22
トリノ,名詞,25,18
通り,名詞,25,18
非常,名詞,25,20
聖堂,名詞,25,23
大佐,名詞,25,21
伯父,名詞,25,23
存在,名詞,25,20
権利,名詞,25,13
高い,形容詞,25,20
果たす,動詞,25,19
介入,名詞,25,19
戦後,名詞,25,18
参戦,名詞,25,16
委員,名詞,25,15
出版,名詞,25,13
有す,動詞,25,22
公家,名詞,25,19
作る,動詞,25,20
法案,名詞,25,5
批判,名詞,25,18
艦,名詞,25,10
グロ,名詞,25,13
英国,名詞,25,14
か月,名詞,25,21
示す,動詞,25,19
ペ,名詞,24,8
関心,名詞,24,20
開催,名詞,24,17
かかわる,動詞,24,18
敬称,名詞,24,14
修道院,名詞,24,16
没収,名詞,24,16
危機,名詞,24,18
いずれ,名詞,24,22
ファシスト,名詞,24,4
長い,形容詞,24,21
向ける,動詞,24,15
年代,名詞,24,17
クレタ,名詞,24,3
加わる,動詞,24,20
ライン,名詞,24,12
身,名詞,24,20
発生,名詞,24,23
帝政,名詞,24,15
黒,名詞,24,3
潜水,名詞,24,4
師団,名詞,24,11
断絶,名詞,24,22
憲法,名詞,24,13
出身,名詞,24,23
獲得,名詞,24,18
授与,名詞,24,19
組織,名詞,24,20
宰相,名詞,23,15
訪れる,動詞,23,17
陰謀,名詞,23,14
遺言,名詞,23,13
併合,名詞,23,19
進める,動詞,23,15
攻略,名詞,23,7
状,名詞,23,12
ワーテルロー,名詞,23,7
破門,名詞,23,6
部分,名詞,23,21
命じる,動詞,23,21
ジョゼフ,名詞,23,16
実現,名詞,23,19
蜂起,名詞,23,12
予定,名詞,23,18
剥奪,名詞,23,15
受け入れる,動詞,23,15
守備,名詞,23,11
廃位,名詞,23,15
ケント,名詞,23,8
若い,形容詞,23,22
準備,名詞,23,15
文学,名詞,23,8
上陸,名詞,23,16
専制,名詞,23,8
新しい,形容詞,23,12
関わる,動詞,23,19
共同,名詞,23,13
枢機卿,名詞,23,15
地域,名詞,23,19
卿,名詞,23,10
ウェルズ,名詞,23,5
経る,動詞,22,18
アテネ,名詞,22,10
負う,動詞,22,19
仲,名詞,22,20
聖,名詞,22,11
フランドル,名詞,22,13
させる,動詞,22,17
殿下,名詞,22,17
翌年,名詞,22,20
ブイヨン,名詞,22,7
未亡人,名詞,22,19
過ごす,動詞,22,17
性格,名詞,22,20
国教,名詞,22,7
訓練,名詞,22,12
各地,名詞,22,18
大司教,名詞,22,9
狙う,動詞,22,17
命令,名詞,22,17
手紙,名詞,22,14
幼い,形容詞,22,20
終結,名詞,22,15
父親,名詞,22,20
姪,名詞,22,19
挙げる,動詞,22,20
ポツダム,名詞,22,18
フォン,名詞,22,19
ヒトラー,名詞,22,12
深い,形容詞,22,19
庁,名詞,22,12
征服,名詞,22,11
嫌う,動詞,21,16
急死,名詞,21,20
中将,名詞,21,17
皇后,名詞,21,20
発展,名詞,21,18
エドゥ,名詞,21,8
教徒,名詞,21,12
行動,名詞,21,11
作品,名詞,21,8
座,名詞,21,18
大尉,名詞,21,19
