word,pos,total,articles
経営,名詞,142,79
高校,名詞,142,102
成功,名詞,141,82
派,名詞,141,72
コンピュータ,名詞,141,39
編集,名詞,140,92
教員,名詞,140,97
慶應義塾,名詞,140,68
構造,名詞,139,83
メアリー,名詞,139,26
革命,名詞,139,38
ノーベル,名詞,139,50
興味,名詞,138,97
留学,名詞,138,80
理解,名詞,138,86
連邦,名詞,138,49
首相,名詞,138,26
選出,名詞,137,85
お茶の水女子大学,名詞,137,78
組織,名詞,137,86
協力,名詞,136,100
管理,名詞,136,79
基礎,名詞,136,94
母親,名詞,135,89
観測,名詞,135,43
関心,名詞,134,99
理由,名詞,133,76
亡くなる,動詞,133,88
ヨーロッパ,名詞,133,76
メンバー,名詞,133,93
県立,名詞,133,84
移る,動詞,132,107
反対,名詞,132,79
群,名詞,132,35
現代,名詞,131,100
神経,名詞,130,65
息子,名詞,130,79
作る,動詞,130,99
退学,名詞,129,126
物,名詞,129,78
自由,名詞,129,63
外国,名詞,128,85
学士,名詞,128,117
彼ら,名詞,128,53
議会,名詞,128,44
帝国,名詞,128,74
ユダヤ,名詞,127,55
行動,名詞,127,71
行く,動詞,127,78
生,名詞,126,84
大戦,名詞,126,83
入る,動詞,125,83
師範,名詞,125,47
バード,名詞,125,75
師,名詞,125,70
妻,名詞,124,74
小学校,名詞,124,82
グループ,名詞,124,73
衛生,名詞,123,56
早稲田大学,名詞,123,53
遺伝,名詞,122,43
物質,名詞,121,52
ジョン,名詞,121,70
掲載,名詞,121,73
応用,名詞,121,79
明らか,名詞,121,83
芸術,名詞,120,73
意味,名詞,120,76
立場,名詞,120,80
ポーランド,名詞,120,35
記念,名詞,120,85
友人,名詞,120,74
マーガレット,名詞,120,26
対象,名詞,120,80
王立,名詞,119,68
症,名詞,119,56
瑞子,名詞,119,5
描く,動詞,119,66
大阪,名詞,119,69
翻訳,名詞,119,74
発生,名詞,118,58
ウィリアム,名詞,118,51
死,名詞,118,57
とる,動詞,118,94
訪れる,動詞,118,74
ミード,名詞,117,3
講演,名詞,117,73
心,名詞,117,72
局,名詞,117,69
福祉,名詞,116,63
出演,名詞,116,55
過ごす,動詞,116,94
旧姓,名詞,116,109
内容,名詞,116,73
卒,名詞,116,101
省,名詞,115,73
ベルリン,名詞,115,43
財団,名詞,115,76
機関,名詞,115,75
候補,名詞,114,51
栄養,名詞,114,36
記録,名詞,114,68
団,名詞,114,37
代,名詞,114,85
シカゴ,名詞,113,63
軍,名詞,113,46
機構,名詞,113,85
博物館,名詞,113,51
基づく,動詞,113,73
制度,名詞,113,68
任命,名詞,113,70
知識,名詞,112,73
報告,名詞,112,62
自己,名詞,112,38
成果,名詞,112,76
非常,名詞,112,76
神,名詞,112,26
残す,動詞,111,85
プログラム,名詞,111,61
関わる,動詞,111,85
決定,名詞,111,66
定年,名詞,111,102
キャリア,名詞,110,73
感じる,動詞,110,62
ウイルス,名詞,110,24
発達,名詞,110,63
教会,名詞,109,44
進む,動詞,109,86
関連,名詞,108,84
出会う,動詞,107,77
理学部,名詞,107,72
資格,名詞,107,66
静岡県立大学,名詞,107,21
育つ,動詞,107,91
障害,名詞,107,54
機,名詞,106,61
児童,名詞,106,50
兄,名詞,106,51
記事,名詞,106,56
大きい,形容詞,106,76
自宅,名詞,105,71
所長,名詞,105,75
出る,動詞,105,73
機能,名詞,105,61
附属,名詞,105,67
紹介,名詞,105,67
創設,名詞,104,75
指摘,名詞,104,65
子ども,名詞,104,59
有名,名詞,104,80
翌年,名詞,104,76
種,名詞,103,64
部長,名詞,103,77
開業,名詞,103,34
大臣,名詞,103,47
続く,動詞,103,71
言葉,名詞,103,68
刊行,名詞,103,54
チーム,名詞,102,59
位,名詞,102,53
出す,動詞,102,66
国家,名詞,102,69
女医,名詞,101,29
説明,名詞,101,67
一部,名詞,101,75
朝,名詞,101,23
団体,名詞,101,65
英,名詞,100,73
個人,名詞,100,68
北海道,名詞,100,52
合格,名詞,100,55
マン,名詞,100,41
しまう,動詞,99,57
発展,名詞,99,74
独立,名詞,99,59
短期大学,名詞,99,53
倫理,名詞,98,41
厚生,名詞,98,38
療法,名詞,98,43
多数,名詞,98,81
診療,名詞,98,36
夫妻,名詞,97,50
役割,名詞,97,72
従事,名詞,97,80
天文台,名詞,97,38
女学校,名詞,96,51
開く,動詞,96,68
開始,名詞,96,71
東洋,名詞,96,22
泌尿器,名詞,96,2
状態,名詞,96,56
プロジェクト,名詞,96,52
証明,名詞,96,46
最終,名詞,95,61
滞在,名詞,95,53
交流,名詞,95,65
保護,名詞,95,47
同僚,名詞,94,59
官,名詞,94,55
電子,名詞,94,38
取る,動詞,94,67
リー,名詞,94,23
初期,名詞,93,76
認知,名詞,93,43
単位,名詞,93,87
責任,名詞,93,75
京都,名詞,93,66
男女,名詞,93,54
専任,名詞,93,85
開催,名詞,93,58
功績,名詞,93,69
オランダ,名詞,92,38
教,名詞,92,65
一家,名詞,92,49
大会,名詞,92,37
目指す,動詞,92,71
資料,名詞,92,57
若い,形容詞,92,67
当初,名詞,91,67
渡る,動詞,91,71
加える,動詞,90,65
唯,名詞,90,2
光,名詞,90,41
地位,名詞,90,62
メディア,名詞,90,64
旅行,名詞,90,52
番組,名詞,90,39
注目,名詞,90,73
郡,名詞,90,65
フェミニズム,名詞,89,36
概念,名詞,89,51
推進,名詞,89,67
設計,名詞,89,39
連合,名詞,89,56
真葛,名詞,89,1
活躍,名詞,89,71
テレビ,名詞,89,57
時期,名詞,88,67
改革,名詞,88,39
飛行,名詞,88,14
聖,名詞,88,43
観察,名詞,88,43
沖縄,名詞,88,14
評議,名詞,88,61
宗教,名詞,87,49
状況,名詞,87,53
病気,名詞,87,58
事件,名詞,87,49
日本女子大学,名詞,87,28
集める,動詞,87,64
解放,名詞,87,25
晩年,名詞,86,66
事業,名詞,86,55
能力,名詞,86,63
妹,名詞,86,46
産業,名詞,86,51
地球,名詞,86,43
果たす,動詞,86,70
日本人,名詞,86,48
作成,名詞,86,56
内閣,名詞,86,47
読む,動詞,86,53
携わる,動詞,85,71
筑波大学,名詞,85,44
伝える,動詞,85,63
非常勤,名詞,85,74
愛,名詞,85,45
もつ,動詞,84,55
施設,名詞,84,59
経済学部,名詞,84,58
政権,名詞,84,32
金融,名詞,84,33
生い立ち,名詞,84,82
版,名詞,84,51
婦人,名詞,84,49
審議,名詞,84,51
人生,名詞,84,63
キリスト,名詞,83,37
イタリア,名詞,83,43
収容,名詞,83,19
死後,名詞,83,57
保育,名詞,83,34
現象,名詞,83,33
伴う,動詞,83,65
長い,形容詞,83,62
良い,形容詞,82,49
退任,名詞,82,69
つける,動詞,82,68
表現,名詞,82,49
みる,動詞,82,67
外科,名詞,82,42
姉,名詞,82,44
離れる,動詞,82,62
キュリー,名詞,82,13
採用,名詞,81,63
写真,名詞,81,45
部分,名詞,81,49
中学校,名詞,81,61
マリー,名詞,81,15
説,名詞,81,34
弟,名詞,81,46
病,名詞,81,60
英国,名詞,81,55
勉強,名詞,81,54
実践,名詞,81,46
変化,名詞,81,61
園,名詞,81,34
議論,名詞,80,49
州立,名詞,80,54
コロンビア大学,名詞,80,52
国民,名詞,80,42
テーマ,名詞,80,73
こ,名詞,80,73
生きる,動詞,80,50
紙,名詞,80,46
差別,名詞,80,40
カナダ,名詞,80,38
ボーヴォワール,名詞,79,11
記述,名詞,79,44
人文,名詞,79,67
同様,名詞,79,58
資金,名詞,79,47
深い,形容詞,79,55
ケンブリッジ大学,名詞,79,50
遺伝子,名詞,78,33
提供,名詞,78,55
ダンス,名詞,78,14
置く,動詞,78,65
作業,名詞,78,47
形成,名詞,78,47
認識,名詞,78,47
記す,動詞,77,47
教養,名詞,77,61
フェミニスト,名詞,77,40
内科,名詞,77,38
データ,名詞,76,51
率,名詞,76,31
ピエール,名詞,76,7
星,名詞,76,28
住む,動詞,76,59
引退,名詞,76,56
ウォーレン,名詞,75,1
インタビュー,名詞,75,47
条件,名詞,75,39
元素,名詞,75,6
著名,名詞,75,61
分子,名詞,75,40
広い,形容詞,75,63
音楽,名詞,74,37
感染,名詞,74,34
学問,名詞,74,42
利用,名詞,74,57
学園,名詞,74,37
共著,名詞,74,65
移住,名詞,74,53
振興,名詞,74,63
受け入れる,動詞,74,50
認定,名詞,74,40
獲得,名詞,73,48
一橋大学,名詞,73,30
大正,名詞,73,40
中央,名詞,73,52
期間,名詞,73,50
その他,名詞,73,61
権利,名詞,73,41
身,名詞,73,51
報道,名詞,73,40
手法,名詞,73,46
男,名詞,73,44
天体,名詞,73,40
教鞭,名詞,73,62
後期,名詞,73,67
側,名詞,72,46
残る,動詞,72,56
扱う,動詞,72,55
最後,名詞,72,58
会社,名詞,72,52
発言,名詞,72,41
機会,名詞,72,52
通う,動詞,72,59
分類,名詞,72,42
米,名詞,72,43
スイス,名詞,72,39
企業,名詞,72,42
戦後,名詞,71,52
市民,名詞,71,48
大阪大学,名詞,71,39
考え,名詞,71,50
裁判,名詞,71,23
体操,名詞,71,6
死亡,名詞,71,50
権,名詞,71,48
環,名詞,71,11
取り上げる,動詞,71,54
解析,名詞,71,44
意見,名詞,70,48
ジョージ,名詞,70,41
公開,名詞,70,53
離婚,名詞,70,58
目的,名詞,70,51
定理,名詞,70,7
か月,名詞,70,42
湯浅,名詞,70,3
学習,名詞,70,46
プログラミング,名詞,70,18
年度,名詞,70,48
初代,名詞,70,55
始まる,動詞,70,49
運営,名詞,70,54
誕生,名詞,69,53
アインシュタイン,名詞,69,9
原子,名詞,69,10
唯一,名詞,69,55
修道院,名詞,69,18
民族,名詞,69,26
在学,名詞,69,59
含める,動詞,69,57
平和,名詞,69,35
黒人,名詞,69,13
正式,名詞,69,49
サッチャー,名詞,68,3
かかわる,動詞,68,52
研修,名詞,68,47
新聞,名詞,68,40
進化,名詞,68,33
受章,名詞,68,48
シモーヌ,名詞,68,9
青森,名詞,68,8
ペンシルベニア,名詞,68,42
出産,名詞,68,41
反応,名詞,68,37
上野,名詞,67,14
共和,名詞,67,36
特,名詞,67,49
静岡,名詞,67,26
天文,名詞,67,25
小惑星,名詞,67,31
否定,名詞,67,39
著す,動詞,67,49
幼少,名詞,67,53
論争,名詞,67,33
出席,名詞,66,45
以外,名詞,66,56
異なる,動詞,66,49
満期,名詞,66,65
書簡,名詞,66,24
インド,名詞,66,30
講座,名詞,66,50
勲章,名詞,66,41
都市,名詞,66,46
許可,名詞,66,39
市立,名詞,66,52
提出,名詞,66,42
主要,名詞,65,58
生理学,名詞,65,42
統合,名詞,65,48
養成,名詞,65,38
生徒,名詞,65,39
癌,名詞,65,39
社会学部,名詞,65,45
人種,名詞,65,18
ローマ,名詞,65,20
欧州,名詞,65,24
スウェーデン,名詞,65,28
一緒,名詞,65,47
事実,名詞,64,50
以来,名詞,64,53
生命,名詞,64,47
ころ,名詞,64,39
発行,名詞,64,47
開設,名詞,64,48
命名,名詞,64,50
役,名詞,64,46
先駆,名詞,64,49
きっかけ,名詞,64,52
構成,名詞,64,40
比較,名詞,64,54
訓練,名詞,63,38
手術,名詞,63,33
末,名詞,63,47
代数,名詞,63,11
領域,名詞,63,55
型,名詞,63,46
登場,名詞,63,39
コース,名詞,63,40
工科,名詞,63,40
望遠鏡,名詞,63,16
通り,名詞,63,33
伝記,名詞,63,39
全て,名詞,63,42
脳,名詞,63,36
それら,名詞,63,40
祖父,名詞,63,40
主任,名詞,62,50
向け,名詞,62,45
ジョンソン,名詞,62,9
効果,名詞,62,41
就く,動詞,62,52
立つ,動詞,62,55
電気,名詞,62,42
プログラマ,名詞,62,12
夫人,名詞,62,30
拒否,名詞,62,43
失う,動詞,62,47
バークレー,名詞,62,53
設置,名詞,61,46
海外,名詞,61,49
アルジェリア,名詞,61,8
意識,名詞,61,40
援助,名詞,61,42
医科,名詞,61,37
習得,名詞,61,33
起こる,動詞,61,39
一方,名詞,61,45
赤十字,名詞,61,25
依頼,名詞,60,44
ワシントン,名詞,60,44
当選,名詞,60,33
論じる,動詞,60,42
特定,名詞,60,44
芳枝,名詞,60,2
長女,名詞,60,49
顧問,名詞,60,40
完全,名詞,60,47
量,名詞,60,37
訪問,名詞,60,44
兄弟,名詞,60,46
創造,名詞,59,29
書籍,名詞,59,40
疾患,名詞,59,37
実施,名詞,59,41
横浜,名詞,59,27
分かる,動詞,59,35
複数,名詞,59,46
進める,動詞,59,50
冊,名詞,59,43
食,名詞,59,24
放送,名詞,59,36
ハーン,名詞,59,6
労働省,名詞,59,27
古典,名詞,59,41
古代,名詞,58,32
結成,名詞,58,25
授業,名詞,58,41
対策,名詞,58,37
イングランド,名詞,58,32
教室,名詞,58,41
行為,名詞,58,34
マサチューセッツ,名詞,58,38
化石,名詞,58,12
近代,名詞,58,44
安全,名詞,58,35
任,名詞,58,44
贈る,動詞,58,44
最高,名詞,58,43
カレッジ,名詞,58,43
少ない,形容詞,58,44
入れる,動詞,58,49
診断,名詞,58,38
監督,名詞,58,42
相談,名詞,58,40
コミュニケーション,名詞,58,34
カトリック,名詞,57,27
